Speaker,Text,Tag
SPEAKER_01,okay so there's a man changing an inner tube yeah on a wheel,STATEMENT
SPEAKER_00," yep definitely a looks like a bike shop, a bike repair garage something like that ",BACKCHANNEL/ACKNOWLEDGE
SPEAKER_01,there was a lot of bikes... in the far side but there's also one closer to him,STATEMENT
SPEAKER_01,there must be what 30 bikes if not more?,RHETORICAL-QUESTIONS
SPEAKER_00,"well i see, i couldn't see that many but i could see the bikes beside him sort of stacked up just the front wheels so the back wheels that's all i could see but ",RESPONSE ACKNOWLEDGMENT
SPEAKER_01,there was more on the other side there was a similar ,STATEMENT
SPEAKER_00,right okay,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_01,so mine was from an action camera on the guy's head ,STATEMENT
SPEAKER_00,okay so he had about doing the inner tube yeah?,STATEMENT
SPEAKER_01,Yep and at one point he did turn around and you could see i don't know what perspective you saw but,STATEMENT
SPEAKER_01,There was like a blue sheet and it was like the door but past that it looked like a car park.,STATEMENT
SPEAKER_01,So I actually think it was a cordoned off part of a car park and it also matches because there was lines on the ground in the thing.,STATEMENT
SPEAKER_01,So I do think that it was a cut off part of a car park.,STATEMENT
SPEAKER_00,"Okay, So maybe like a pop up shop type scenario.",DECLARATIVE YES-NO-QUESTION
SPEAKER_01,"Yeah, Because there was chain link fences as well.",STATEMENT
SPEAKER_01,It wasn't walls.,STATEMENT
SPEAKER_00,"Yes, I did see the chain link fences.",YES ANSWERS
SPEAKER_00,So from my point of view I could see him obviously changing the inner,STATEMENT
SPEAKER_01,Tube.,COLLABORATIVE COMPLETION
SPEAKER_00,Tube of the tyre.,STATEMENT
SPEAKER_00,Yeah.,YES ANSWERS
SPEAKER_00,"There was a video record, like a camera stand.",STATEMENT
SPEAKER_00,On a tripod.,COLLABORATIVE COMPLETION
SPEAKER_00,Behind him.,STATEMENT
SPEAKER_00,And then there was a camera stand over in the back of the room.,STATEMENT
SPEAKER_01,Yeah.,YES ANSWERS
SPEAKER_00,With a man standing.,STATEMENT
SPEAKER_01,Yeah.,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_00,"Recording, obviously.",STATEMENT
SPEAKER_01,Yeah.,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_01,I kind of saw them in the background.,STATEMENT
SPEAKER_01,"Also, the man was very tanned.",STATEMENT
SPEAKER_01,He was wearing shorts and sandals.,STATEMENT
SPEAKER_00,Yes.,YES ANSWERS
SPEAKER_01,So my guess is it's somewhere with a warmer climate than in Scotland.,STATEMENT
SPEAKER_00,Yes.,YES ANSWERS
SPEAKER_00,Somewhere that you can do a pop-up shop in a car park.,STATEMENT
SPEAKER_01,It was a blue bike.,STATEMENT
SPEAKER_01,It was a front tyre that was being replaced or the inner tube being replaced.,STATEMENT
SPEAKER_01,it was a very messy shop ,STATEMENT
SPEAKER_00,it was with the bike up on a stand presumably that was the bike it was going on foot pump ,STATEMENT
SPEAKER_01,"yeah yes lots of different tools, it had a whole like container thing beside him it was filled with different tools, so he clearly knows what he's doing done it before, and he did it very easily from the looks of it yes",STATEMENT
SPEAKER_00,Yes. I've never changed it I've never seen somebody change a tire tube before so that's quite interesting yeah,STATEMENT
SPEAKER_00, yeah what else was there... guy that was with him was also wearing shorts and t-shirts so,STATEMENT
