Speaker,Text,Tag
SPEAKER_01,So it was a guy cooking.,STATEMENT
SPEAKER_00,"Yeah, I saw that like there are three guys, two were sitting on a couch on a sofa and one was standing cooking something like he's making some salad recipe.",STATEMENT
SPEAKER_01,"Yeah, I only saw one guy.",REJECT
SPEAKER_01,"Yeah, I only saw the guy cooking.",STATEMENT
SPEAKER_00,"No, I saw the three guys.",NEGATIVE NON-NO ANSWERS
SPEAKER_01,"Oh, okay.",RESPONSE ACKNOWLEDGMENT
SPEAKER_01,Did you see it from his perspective?,YES-NO-QUESTION
SPEAKER_00,"Yeah, from his perspective.",YES ANSWERS
SPEAKER_01,ah okay,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_00,"And also I've seen that he was taking some like fruits, no, vegetables.",STATEMENT
SPEAKER_00,Yeah.,YES ANSWERS
SPEAKER_00,The one was first cucumber.,STATEMENT
SPEAKER_00,The second one was tomato.,STATEMENT
SPEAKER_00,And the third one was onions.,STATEMENT
SPEAKER_01,yeah yeah,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_00,He washed them and he made a salad for the second guy.,STATEMENT
SPEAKER_00,"He washed and he was adding some, I think, soy sauce or something.",STATEMENT
SPEAKER_01,I could yeah it was a bottle I couldn't tell what it was ,OTHER ANSWERS
SPEAKER_00,yeah but it looks like a soy sauce because the guy was Chinese the second guy so they like Chinese eat soy sauce,STATEMENT
SPEAKER_01,oh yeah,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_00,you know so I thought this so there were two guys so the second guy came up and he took his bowl for a salad and then the video was stopped because he was making some recipe for his friends maybe ,STATEMENT
SPEAKER_01,oh yeah okay yeah I only saw the guy in the in the kitchen cook I didn't see any of these other people so I couldn't see who he was cooking ,BACKCHANNEL/ACKNOWLEDGE
SPEAKER_00,"Oh okay, And the third one was like sitting on a sofa and doing nothing.",RESPONSE ACKNOWLEDGMENT
SPEAKER_00,They were like talking and just like sitting.,STATEMENT
SPEAKER_01,"Oh, okay.",BACKCHANNEL/ACKNOWLEDGE
SPEAKER_01,"But there was no sound, so you couldn't tell what they were saying.",STATEMENT
SPEAKER_01,"Yeah, there was no sound, yeah.",STATEMENT
SPEAKER_01,I think that's all.,SUMMARIZE/REFORMULATE
SPEAKER_00,"Yeah, that's all.",STATEMENT
SPEAKER_00,Good salad?,OPEN-QUESTION
SPEAKER_01,"Good salad, yes, if I've been",BACKCHANNEL-QUESTION
SPEAKER_00,Must be confirmed that.,OTHER
SPEAKER_00,Is it like this?,OPEN-QUESTION
